Period,Revenue,COGS,EBIT,SGA,NetIncome,Cash,Receivables,Inventories,OtherCurrentAssets,PPE,OtherAssets,DebtCurrent,AccountsPayable,OtherCurrentLiabilities,LiabilitiesCurrent,TotalLiabilities,1m_return,3m_return,6m_return,9m_return,Price
FY2015 Q4,233715000000,140089000000,71230000000,14329000000,53394000000,21120000000,16849000000,2349000000,9539000000,22471000000,5556000000,2500000000,35490000000,42620000000,80610000000,171124000000,6.142423719044188,8.951864034816026,23.6958981200424,41.062679345819305,25.998573303222656
FY2016 Q1,75872000000,45449000000,24171000000,3848000000,18361000000,16689000000,12953000000,2451000000,11073000000,22300000000,7974000000,2500000000,33312000000,40280000000,76092000000,165017000000,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133,21.968420028686523
FY2016 Q2,50557000000,30636000000,13987000000,3423000000,10516000000,21514000000,12229000000,2281000000,10204000000,23203000000,7745000000,2500000000,25098000000,40667000000,68265000000,174820000000,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133,21.968420028686523
FY2016 Q3,42358000000,26252000000,10105000000,3441000000,7796000000,18237000000,11714000000,1831000000,11132000000,25448000000,7862000000,3500000000,26318000000,41668000000,71486000000,179061000000,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133,21.968420028686523
FY2016 Q4,46852000000,29039000000,11761000000,3482000000,9014000000,20484000000,15754000000,2132000000,8283000000,27010000000,8757000000,3500000000,37294000000,38212000000,79006000000,193437000000,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133,21.968420028686523
FY2017 Q1,78351000000,48175000000,23359000000,3946000000,17891000000,16371000000,14057000000,2712000000,12191000000,26510000000,7390000000,3499000000,38510000000,42121000000,84130000000,198751000000,4.774657478510758,7.4273641998661155,17.679470308262623,31.619828414572602,27.996517181396484
FY2017 Q2,52896000000,32305000000,14097000000,3718000000,11029000000,15157000000,11579000000,2910000000,11367000000,27163000000,7549000000,3999000000,28573000000,40770000000,73342000000,200450000000,4.774657478510758,7.4273641998661155,17.679470308262623,31.619828414572602,27.996517181396484
FY2017 Q3,45408000000,27920000000,10768000000,3783000000,8717000000,18571000000,12399000000,3146000000,10338000000,29286000000,10150000000,6495000000,31915000000,42892000000,81302000000,212748000000,4.774657478510758,7.4273641998661155,17.679470308262623,31.619828414572602,27.996517181396484
FY2017 Q4,52579000000,32648000000,13120000000,3814000000,10714000000,20289000000,17874000000,4855000000,13936000000,33783000000,10162000000,6496000000,49049000000,45269000000,100814000000,241272000000,4.774657478510758,7.4273641998661155,17.679470308262623,31.619828414572602,27.996517181396484
FY2018 Q1,88293000000,54381000000,26274000000,4231000000,20065000000,27491000000,23440000000,4421000000,11337000000,33679000000,13323000000,6498000000,62985000000,46305000000,115788000000,266595000000,-1.063643913868817,-0.596354667847665,13.421486619367418,17.917168693167085,39.248756408691406
FY2018 Q2,61137000000,37715000000,15894000000,4150000000,13822000000,45059000000,14324000000,7662000000,12043000000,35077000000,23086000000,8498000000,34311000000,46511000000,89320000000,240624000000,-1.063643913868817,-0.596354667847665,13.421486619367418,17.917168693167085,39.248756408691406
FY2018 Q3,53265000000,32844000000,12612000000,4108000000,11519000000,31971000000,14104000000,5936000000,12488000000,38117000000,22546000000,5498000000,38489000000,44561000000,88548000000,234248000000,-1.063643913868817,-0.596354667847665,13.421486619367418,17.917168693167085,39.248756408691406
FY2018 Q4,62900000000,38816000000,16118000000,4216000000,14125000000,25913000000,23186000000,3956000000,12087000000,41304000000,22283000000,8784000000,55888000000,32687000000,116866000000,258578000000,-1.063643913868817,-0.596354667847665,13.421486619367418,17.917168693167085,39.248756408691406
FY2019 Q1,84310000000,52279000000,23346000000,4783000000,19965000000,44771000000,18077000000,4988000000,12432000000,39597000000,34686000000,9772000000,44293000000,36703000000,108283000000,255827000000,5.515368095384754,-23.68605870390822,-11.920510472988767,1.8109758692807842,39.60243606567383
FY2019 Q2,58015000000,36194000000,13415000000,4458000000,11561000000,37988000000,15085000000,4884000000,12092000000,38746000000,34587000000,10505000000,30443000000,35368000000,93772000000,236138000000,5.515368095384754,-23.68605870390822,-11.920510472988767,1.8109758692807842,39.60243606567383
FY2019 Q3,53809000000,33582000000,11544000000,4426000000,10044000000,50530000000,14148000000,3355000000,10530000000,37636000000,33634000000,13529000000,29115000000,31673000000,89704000000,225783000000,5.515368095384754,-23.68605870390822,-11.920510472988767,1.8109758692807842,39.60243606567383
FY2019 Q4,64040000000,39727000000,15625000000,4578000000,13686000000,48844000000,22926000000,4106000000,12352000000,37378000000,32978000000,10260000000,46236000000,37720000000,105718000000,248028000000,5.515368095384754,-23.68605870390822,-11.920510472988767,1.8109758692807842,39.60243606567383
FY2020 Q1,91819000000,56602000000,25569000000,5197000000,22236000000,39771000000,20970000000,4097000000,12026000000,37031000000,40457000000,10224000000,45111000000,36263000000,102161000000,251087000000,5.400984285596877,24.794697087611617,46.272408181265654,55.88717172691893,74.75077819824219
FY2020 Q2,58313000000,35943000000,12853000000,4952000000,11249000000,40174000000,15722000000,3334000000,15691000000,35889000000,41965000000,10392000000,32421000000,37324000000,96094000000,241975000000,5.400984285596877,24.794697087611617,46.272408181265654,55.88717172691893,74.75077819824219
FY2020 Q3,59685000000,37005000000,13091000000,4831000000,11253000000,33383000000,17882000000,3978000000,10987000000,35687000000,41000000000,7509000000,35325000000,35005000000,95318000000,245062000000,5.400984285596877,24.794697087611617,46.272408181265654,55.88717172691893,74.75077819824219
FY2020 Q4,64698000000,40009000000,14775000000,4936000000,12673000000,38016000000,16120000000,4061000000,11264000000,36766000000,42522000000,8773000000,42296000000,42684000000,105392000000,258549000000,5.400984285596877,24.794697087611617,46.272408181265654,55.88717172691893,74.75077819824219
FY2021 Q1,111439000000,67111000000,33534000000,5631000000,28755000000,36010000000,27101000000,4973000000,13687000000,37933000000,43270000000,7762000000,63846000000,48504000000,132507000000,287830000000,-0.5501386174650125,21.4290541645634,24.624523453807434,80.78218124892331,128.581298828125
FY2021 Q2,89584000000,51505000000,27503000000,5314000000,23630000000,38466000000,18503000000,5219000000,13376000000,37815000000,43339000000,8003000000,40127000000,45660000000,106385000000,267980000000,-0.5501386174650125,21.4290541645634,24.624523453807434,80.78218124892331,128.581298828125
FY2021 Q3,81434000000,46179000000,24126000000,5412000000,21744000000,34050000000,17475000000,5178000000,13641000000,38615000000,44854000000,8039000000,40409000000,43625000000,107754000000,265560000000,-0.5501386174650125,21.4290541645634,24.624523453807434,80.78218124892331,128.581298828125
FY2021 Q4,83360000000,48186000000,23786000000,5616000000,20551000000,34940000000,26278000000,6580000000,14111000000,39440000000,48849000000,9613000000,54763000000,47493000000,125481000000,287912000000,-0.5501386174650125,21.4290541645634,24.624523453807434,80.78218124892331,128.581298828125
FY2022 Q1,123945000000,69702000000,41488000000,6449000000,34630000000,37119000000,30213000000,5876000000,18112000000,39245000000,50109000000,11169000000,74362000000,49167000000,147574000000,309259000000,-1.5712358442838803,16.84583349590958,20.181896753585036,33.57298563311324,171.3547821044922
FY2022 Q2,97278000000,54719000000,29979000000,6193000000,25010000000,28098000000,20815000000,5460000000,15809000000,39304000000,51959000000,9659000000,52682000000,50248000000,127508000000,283263000000,-1.5712358442838803,16.84583349590958,20.181896753585036,33.57298563311324,171.3547821044922
FY2022 Q3,82959000000,47074000000,23076000000,6012000000,19442000000,27502000000,21803000000,5433000000,16386000000,40335000000,52605000000,14009000000,48343000000,48811000000,129873000000,278202000000,-1.5712358442838803,16.84583349590958,20.181896753585036,33.57298563311324,171.3547821044922
FY2022 Q4,90146000000,52051000000,24894000000,6440000000,20721000000,23646000000,28184000000,4946000000,21223000000,42117000000,54428000000,11128000000,64115000000,60845000000,153982000000,302083000000,-1.5712358442838803,16.84583349590958,20.181896753585036,33.57298563311324,171.3547821044922
FY2023 Q1,117154000000,66822000000,36016000000,6607000000,29998000000,20535000000,23752000000,6820000000,16422000000,42951000000,60924000000,9740000000,57918000000,59893000000,137286000000,290020000000,11.052091703463972,-5.745829704128813,-10.940806704280703,-8.060414606993383,142.28334045410156
FY2023 Q2,94836000000,52860000000,28318000000,6201000000,24160000000,24687000000,17936000000,7482000000,13660000000,43398000000,65388000000,10578000000,42945000000,56425000000,120075000000,270002000000,11.052091703463972,-5.745829704128813,-10.940806704280703,-8.060414606993383,142.28334045410156
FY2023 Q3,81797000000,45384000000,22998000000,5973000000,19881000000,28408000000,19549000000,7351000000,13640000000,43550000000,64768000000,7216000000,46699000000,58897000000,124963000000,274764000000,11.052091703463972,-5.745829704128813,-10.940806704280703,-8.060414606993383,142.28334045410156
FY2023 Q4,89498000000,49071000000,26969000000,6151000000,22956000000,29965000000,29508000000,6331000000,14695000000,43715000000,64758000000,9822000000,62611000000,58829000000,145308000000,290437000000,11.052091703463972,-5.745829704128813,-10.940806704280703,-8.060414606993383,142.28334045410156
FY2024 Q1,119575000000,64720000000,40373000000,6786000000,33916000000,40760000000,23194000000,6511000000,13979000000,43666000000,66681000000,10954000000,58146000000,54611000000,133973000000,279414000000,-4.222729782011536,8.1237290249071,-5.883304191307404,9.115980143216662,182.8518829345703
FY2024 Q2,90753000000,48482000000,27900000000,6468000000,23636000000,32695000000,21837000000,6232000000,13884000000,43546000000,70262000000,10762000000,45753000000,57298000000,123822000000,263217000000,-4.222729782011536,8.1237290249071,-5.883304191307404,9.115980143216662,182.8518829345703
FY2024 Q3,85777000000,46099000000,25352000000,6320000000,21448000000,25565000000,22795000000,6165000000,14297000000,44502000000,70435000000,12114000000,47574000000,60889000000,131624000000,264904000000,-4.222729782011536,8.1237290249071,-5.883304191307404,9.115980143216662,182.8518829345703
FY2024 Q4,94930000000,51051000000,29591000000,6523000000,14736000000,29943000000,33410000000,7286000000,14287000000,45680000000,74834000000,10912000000,68960000000,78304000000,176392000000,308030000000,-4.222729782011536,8.1237290249071,-5.883304191307404,9.115980143216662,182.8518829345703
FY2025 Q1,124300000000,66025000000,42832000000,7175000000,36330000000,30299000000,29639000000,6911000000,13248000000,46069000000,77183000000,10848000000,61910000000,61151000000,144365000000,277327000000,-5.75832459308947,4.581318430989723,6.5080707314079556,39.055920619007736,235.16519165039062
FY2025 Q2,95359000000,50492000000,29589000000,6728000000,24780000000,28162000000,26136000000,6269000000,14109000000,46876000000,81259000000,13638000000,54126000000,61849000000,144571000000,264437000000,-5.75832459308947,4.581318430989723,6.5080707314079556,39.055920619007736,235.16519165039062
FY2025 Q3,94036000000,50318000000,28202000000,6650000000,23434000000,36269000000,27557000000,5925000000,14359000000,48508000000,82882000000,9345000000,50374000000,62499000000,141120000000,265665000000,-5.75832459308947,4.581318430989723,6.5080707314079556,39.055920619007736,235.16519165039062
