Year,1m_return,3m_return,6m_return,9m_return
2015,,,,
2016,-7.5242572873026825,-18.19529415675244,-19.044408916449097,-21.207092675606642
2017,4.774656796871679,7.427378837503706,17.679486342812577,31.619869953301617
2018,-1.0636441184267986,-0.596345179371649,13.421489578471402,17.917172800034663
2019,5.51539914720045,-23.686044002055905,-11.920486031630272,1.8109755140788053
2020,5.400951431509515,24.794671613415844,46.272400160160565,55.88712750461604
2021,-0.5501268157141248,21.4290510766308,24.624510596522995,80.78218331036918
2022,-1.5712357065669869,16.84583174312102,20.181907455534475,33.57299752751144
2023,11.052066568262632,-5.745839812160424,-10.940799243262123,-8.060415401735055
2024,-4.222713796995247,8.123747070520281,-5.883288483437344,9.115998354434375
2025,-5.75832459308947,4.581318430989723,6.5080707314079556,39.05590807241042
